,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,COMM_1,10/7 13:14,10/07 14:06,All Ok MINIMUM SUCCESS :),
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Obs Mode 1 + 2.02,10/07 13:16,10/07 13:38,"OBs counter (approx, -+ 1 ): From 81 to 109 are complete.",D10-304-2739
Flats,1,10/07 13:39,10/07 13:50,"Obs Counter: 115, 116, 117, 118, 119 . Julián says that we may have lost a few photons somewhere",D10-2740-4339
Flats,2.02,10/07 13:50,10/07 13:59,"Obs Counter: 120, 121, 122, 123, 124",D10-4340-5619
,Darks,10/07 14:01,10/07 14:04,n/a,D10-5620-5719
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,COMM_2,10/7/2024 16:25,10/07 16:39,All ok,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pinholes,10/7 16:28,10/7 16:28,"3 modes -> OCs 197, 198, 199",D10-6188-6193
,PD,10/7 16:34,10/7 16:34,"First image has pinhole overwritten. Ocs: 200, 201, 202, 203",D10-6194-6513
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,EMF_1,10/07 17:05,11/7 0:40,Stopped at 18:18 -> Sunspot lost. Restart at: 19:13. Jump in pointing around 20:35; stopped 21:10 -> Movement to DC for flatfield did not happen. Coma correction manually by Achim before Restart: 21:23 with Thumbnail Mg at AR; Stopped 23:28 for additional manual coma correction for CWS; go to FF position before restart 23:41 with final calib block,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,10/7 17:09,10/7 17:11,"Mg + 0.2 Ocs: 241, 242, 243, 244",D10-6562-6841
,Darks,10/07 17:14,10/07 17:16, - ,D10-6844-6943
,PD,10/7 17:19,10/7 17:20,First image is a dark (overwritten) Ocs: 40 ,D10-6944-7263
,Straylight,10/7 17:20,10/7 17:21,OCs : 44,D10-7264-7343
,Linear Pol.,10/7 17:26,10/7 17:26,OCs: 45 - 47,D10-7344-7367
,Micro. Pols.,10/7 17:26,10/7 17:27,OCs: 48 - 50,D10-7368-7391
,Pinholes,10/7 17:27,10/7 17:27,OCs: 51 - 53,D10-7392-7397
Flats,1,10/07 17:27,10/07 17:43,Ocs : 54 -> 60,D10-7398-9637
Flats,2.02,10/07 17:43,10/7 17:55,OCs: 61 -> 67,D10-9638-11429
,Obs Mode 1 + 2.02,10/07 18:13,10/7 18:18,OCs: From 69 to 75. Stopped due to lost of sunspot,D10-11432-11949
,Obs Mode 1 + 2.02,10/07 19:14,10/07 21:06,OCs: From 124 to 38. First images of OM 124 are not stable. ,D10-11998-23661
,Obs Mode 1 + 2.02,10/07 21:26,10/7 23:27,OCs: From 42 to 214,D10-23675-36096
,Darks,10/7 23:42,10/7 23:45,OCs 216 - 9,D10-36099-36198
,PD,10/7 23:47,10/7 23:48,"OCs: 10, Strange thumbnail for Camera1, looks like a dark",D10-36199-36518
,Straylight,10/7 23:48,10/7 23:49,OCs: 14,D10-36519-36598
,Linear Pol.,10/7 23:54,10/7 23:55,OCs: 15 - 17,D10-36599-36622
,Micro. Pols.,10/7 23:55,10/7 23:55,OCs: 18 - 20,D10-36623-36646
,Pinholes,10/7 23:55,10/7 23:55,OCs: 22 - 23,D10-36647-36652
Flats,1,10/7 23:56,11/7 0:11,OCs: 24 -> 30,D10-36653-37236 ; D11-0-1655
Flats,2.02,11/7 0:12,11/7 0:24,OCs: 31 -> 37,D11-1656-3447
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,SUNSPOT_4,11/7 2:20,11/7 2:34,"Several errors 99 for Timeout reached by camera at 02:23, 02:25, 02:27, 02:30, 02:32, with the thumbnail before the Error is recieved looking blurred",
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Obs Mode 1 + 2.02,11/7 2:22,11/7 2:34,OCs: 134 - 144. Several 99 and restarts in the middle of obs. ,D11-3545-4272
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,QSDC_1,11/7 2:43,11/07 11:52,"Run Test for 71 at 03:39 to see whether the 99 error persists to apear --> Now runs w/o error (can be used as flat); Stop TL for fine pointing of SCIP and SUSI 03:51, restart: 03:57. Aborted at 5:51. Power cycle at 5:53, Restart and reset, then restart Obs 15 manually. Paused at 6:20 just before calibration block after QS2. Stopped TL for all and restart at 6:30 with the intermediate small calib block. Stop TL for re-pointing 6:50 and restart the TL at 6:51, directly interrupt upd.15 and re-start with the offset to the voltage  at 6:53. Block QS8 run again with manual command 15 with obs Mode 1 withan etalon shift of  -100V shift at 9:05. End went OK! Last two observation blocks NO C31:) ",
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,11/7 2:46,11/7 2:49,OCs: 147-150,D11-4275-4554
,Darks,11/7 2:52,11/7 2:54,OCs: 151- 201,D11-4557-4656
,PD,11/7 2:57,11/7 2:58,OCs: 202,D11-4657-4976
,Straylight,11/7 2:58,11/7 2:59,OCs: 206 with Error 99,D11-4977-5050
,Linear Pol.,11/7 3:03,11/7 3:04,OCs: 207 - 209,D11-5051-5074
,Micro. Pols.,11/7 3:04,11/7/2024 3:04,OC: 210 - 212,D11-5075-5098
,Pinholes,11/7 3:05,11/7 3:05,"OCs: 213, ",D11-5099-5104
Flats,1,11/7 3:05,11/7 3:25,"OCs: 216 - 222 ;Error 99 at 03:07, 03:11, 03:14, 03:20, 03: 25 (always at end of repition with 4 images missing at = for last voltage of Obs1), no issue after the 6th, delayed end with repesct to timeline.",D11-5105-7236
Flats,2.02,11/7 3:26,11/7 3:37,"OCs: 223-229, delayed start of timeline as previous one took longer because of error 99",D11-7237-9028
,Obs Mode 1 + 2.02,11/7 3:58,11/07 5:51,"OCs: 232 - ;Error 99 for last voltage of Obs1: 4:06, 4:09, 04:21, 4:23, 4:26, 4:29 --> Abort at 4:32, reset the cameras, go to 0V and wait for one minute -> Restart udp15 at 4:35, next error 99 directly for the first run (4:35), followed of 4:38, 4:40, 4:44, 4:48, 4:56, 4:58, 5:01, 5:29, 5:32,5:35, 5:38. ABORTED AT 5:51",D11-9351-18270
,Obs Mode 1 + 2.02,11/07 6:07,11/07 6:20,Restat udp 15 manually to rejoin the TL -5 repetitions run of which two have another 99 error at 6:11 and 6:15;,D11-18275-18986
,Obs Mode 1 + 2.02,11/07 6:53,11/07 8:54,CHANGED WAVELENGTHS. ETALON SHIFT -100V for Obs Mode 1. one 31 at the begining OCs ~ form 18 to  184,D11-18997-30945
,Obs Mode 1 + 2.02,11/07 9:05,11/07 10:52,Etalon Shift -100V for Obs Mode 1. OCs : from : 188 -> 78,D11-30968-41605
,Darks,11/07 10:55,11/07 10:57,OCs: ~ 82 -> 130 (approx),D11-41608-41707
,PD,11/7 11:00,11/7 11:00,OCs : 131 -> 134,D11-41708-42027
,Straylight,11/7 11:01,11/7 11:02,OC : 135,D11-42028-42107
,Linear Pol.,11/7 11:06,11/07/2024 11:07,,D11-42108-42131
,Micro. Pols.,11/7 11:07,11/7 11:07,,D11-42132-42135
,Pinholes,11/7 11:08,11/7 11:08,OC: 142,D11-42156-42161
Flats,1,11/07 11:08,11/07 11:24,ETALON OFFSET -100V OCs: 146 -> 152,D11-42170-44409
Flats,2.02,11/07 11:24,11/07 11:36,OCs: 153 -> 159,D11-44410-46201
Flats,1,11/07 11:38,11/07 11:44,"Another command sent manually for ObsMode1 with etalon offset -100V. OCs: 160, 161, 162 ",D11-46203-47161
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,FS_1,11/07 12:41,12/07 0:46,Run through,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Darks,11/07 12:46,11/07 12:49:00,OCs: 12 - 60,D11-47517-47616
,PD,11/7 12:51,11/7 12:51,"OC, 61, 62, 63, 64. Some thumbnails show darks. ",D11-47617-47936
,Linear Pol.,11/7 12:53,12:53,OC: 65,D11-47937-47960
,Micro. Pols.,11/7 12:54,11/7 12:54,,D11-47961-47984
,Pinholes,11/7 12:54,11/7 12:55,OCs: 72,D11-47985-47990
Flats,0p,11/07 12:55,11/07 13:32,OCs: 74 - 87,D11-47991-53366
