Pinholes IDs,Date,517_Rot,525.02_Rot,525.06_Rot
D10-6188-6193,2024-07-10 16:28:00,0.0654,0.0683000000000001,0.0663
D10-7392-7397,2024-07-10 17:27:00,0.0648,0.0662,0.0668
D10-36647-36652,2024-07-10 23:55:00,0.0676000000000001,0.0668,0.0676
D11-5099-5104,2024-07-11 03:05:00,0.0661,0.0690000000000001,0.0714000000000001
D11-42156-42161,2024-07-11 11:08:00,0.0641,0.0675,0.0686000000000001
D11-47985-47990,2024-07-11 12:54:00,0.0641,0.0655,0.0676
D12-908-913,2024-07-12 00:14:00,0.0673000000000001,0.0696000000000001,0.0696000000000001
D12-3980-3985,2024-07-12 01:56:00,0.0672,0.0675,0.0677
D12-8268-8273,2024-07-12 03:12:00,0.066,0.0665,0.0683000000000001
D12-13537-13542,2024-07-12 07:23:00,0.0659,0.065,0.0688000000000001
D12-42207-42212,2024-07-12 14:52:00,0.0662,0.0674,0.0663
D12-50025-50030,2024-07-12 18:57:00,0.0644,0.0671,0.0666
D12-57025-57030,2024-07-12 20:28:00,0.0649,0.0674,0.0676
D12-63736-63741,2024-07-12 22:54:00,0.0688000000000001,0.0725000000000002,0.0693000000000001
D13-24007-24012,2024-07-13 08:01:00,0.0648,0.0665,0.0682000000000001
D13-29589-29594,2024-07-13 09:26:00,0.066,0.0656,0.0662
D13-64117-64122,2024-07-13 14:52:00,0.0645,0.0659,0.0655
D13-69239-69244,2024-07-13 16:11:00,0.065,0.0657,0.0665
D13-85807-85812,2024-07-13 20:23:00,0.0644,0.0669,0.0672
D14-4250-4255,2024-07-14 01:38:00,0.0688000000000001,0.0705000000000001,0.0747000000000002
D14-16648-16653,2024-07-14 04:46:00,0.0701000000000001,0.0687000000000001,0.0716000000000001
D14-26854-26859,2024-07-14 09:32:00,0.0673000000000001,0.0674,0.068
D14-43335-43340,2024-07-14 13:15:00,0.0661,0.0668,0.0673
D14-85199-85204,2024-07-14 19:24:00,0.0656,0.0679,0.0704000000000001
D14-86813-86818,2024-07-14 20:23:00,0.0661,0.0666,0.0669
D15-4008-4013,2024-07-15 00:53:00,0.0675000000000001,0.068,0.0678
D15-8636-8641,2024-07-15 02:10:00,0.0676000000000001,0.0717000000000002,0.0722000000000002
D15-14468-14473,2024-07-15 04:12:00,0.0666,0.0693000000000001,0.0697000000000001
D15-17870-17875,2024-07-15 09:30:00,0.0659,0.0668,0.0677
D15-46194-46199,2024-07-15 14:28:00,0.0645,0.0655,0.0667
D15-49464-49469,2024-07-15 16:04:00,0.0668,0.0651,0.0672
D15-62847-62852,2024-07-15 19:06:00,0.0654,0.066,0.0688000000000001
D15-71539-71544,2024-07-15 21:07:00,0.066,0.0665,0.0674
D15-80651-80656,2024-07-15 23:19:00,0.0646,0.0687000000000001,0.0674
D16-36893-36898,2024-07-16 05:57:00,0.0684000000000001,0.0730000000000002,0.0716000000000001
D16-54286-54291,2024-07-16 09:55:00,0.0661,0.0723000000000002,0.0686000000000001
D16-73036-73041,2024-07-16 14:14:00,0.066,0.0665,0.0666
