ID,01_QSUN_Fe2.02,01_QSUN_Mg1,02_EMEF_Fe2.02,02_EMEF_Mg1,04_QSUN_Fe2.02,04_QSUN_Mg1,06_SPOT_Fe2.02_0,06_SPOT_Mg1_0,06_SPOT_Fe2.02_1,06_SPOT_Mg1_1,08_QSUN_Fe2.02,11_FLAR_Fe2.06,11_FLAR_Mg1,21_SPOT_Fe2.02_0,21_SPOT_Mg1_0,21_SPOT_Fe2.02_1,21_SPOT_Mg1_1,26_SPOT_Fe2.02,26_SPOT_Mg1,32_QSUN_Fe2.02
Block,COMM_1,COMM_1,EMF_1,EMF_1,QSDC_1,QSDC_1,AR_1,AR_1,AR_1,AR_1,QSHC_1,FS_1,FS_1,CALL_1,CALL_1,FS_1,FS_1,SP_4,SP_4,QSHC
PD date,10/07/2024,10/07/2024,10/07/2024,10/07/2024,11/07/2024,11/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,13/07/2024,13/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,15/07/2024,15/07/2024,15/07/2024
Time (UTC),16:34,16:34,17:19,17:19,11:00,11:00,07:16,07:16,09:23,09:23,18:26,11:42,11:42,13:07,13:07,17:35,17:35,09:23,09:23,20:02
Filter,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,525.06,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02
DID PD,D10-6194-6513,D10-6194-6513,D10-6944-7263,D10-6944-7263,D11-41708-42027,D11-41708-42027,D12-13095-13414,D12-13095-13414,D12-18113-18432,D12-18113-18432,D12-49657-49912,D13-43241-43496,D13-43241-43496,D14-42951-43206,D14-42951-43206,D14-73583-73838,D14-73583-73838,D15-17486-17741,D15-17486-17741,D15-65911-66230
DID Darks,D10-5620-5719,D10-5620-5719,D10-6844-6943,D10-6844-6943,D11-41608-41707,D11-41608-41707,D12-12995-13094,D12-12995-13094,D12-12995-13094,D12-12995-13094,D12-49557-49656,D13-63633-63732,D13-63633-63732,D14-42851-42950,D14-42851-42950,D14-73483-73582,D14-73483-73582,D15-17386-17485,D15-17386-17485,?
DID Flat,D10-4340-5619,D10-2740-4339,D10-9638-11429,D10-7398-9637,D11-44410-46201,D11-42170-44409,D12-15783-17574,D12-13543-15782,D12-15783-17574,D12-13543-15782,D12-50091-51610,D13-29696-34559,D13-65403-66074,D14-43341-44620,D14-44861-45340,D14-75383-78198,D14-78199-79798,D15-17876-19155,D15-19156-20115,?
Initial guess,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,,,Zeros,,Zeros
Algorithm,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,,,SVD,,SVD
Iterations,-,5-7,4-8,5-7,4-6,5-7,6-7,6,,5-7,-,-,-,6-7,4-7,,,6,6,-
WFE,1/5.29,1/5.58,1/5.58,1/5.74,1/4.51,1/6.92,1/4.14,1/4.53,1/5.18,1/5.87,1/4.86,1/5.72,1/5.85,1/5.68,1/5.71,,,1/4.15,1/4.4,1/5.54
Contrast original,9.9%,9.4%,10.0%,10.3%,9.4%,10.8%,9.1%,8.5%,18.9%,22.1%,9.9%,20.2%,22.9%,10.2%,10.2%,,,8.5%,8.0%,9.7%
Contrast restored,14.3%,13.3%,13.9%,13.6%,14.6%,15.0%,14.5%,11.7%,21.7%,23.7%,13.8%,23.3%,26.2%,14.2%,13.3%,,,12.3%,10.6%,13.9%
Note,,9 iterations for one subpatch. Large dispersion on Zernikes.,Some subpatches converge at 8 and two of them at 11 and 12 iterations,9 iteration for one subpatch,,"5-7 iterations, except four a couple subpatches with 10 and 12 iterations",We sum the whole realigned series to improve convergence.,,Sunspot. Same flat and dark than for the 07:16 dataset.,,,Sunspot,8 iterations for one subpatch,The restoration looks very good,One subpatch took 9 iterations to convege,The telescope is moving along the PD series. Use the PD at 13:07 (timelime CALL_1),,Very low WFE rms,10 and 18 iterations for two subpatches,
Z1 (offset),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0
Z2 (tip/tilt X),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0
Z3 (tip/tilt Y),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0
Z4 (def),0.415,0.4507,0.3128,0.5768,0.639,0.5099,-0.151,0.2021,0.3016,0.4599,0.4794,0.3154,0.2481,0.291,0.6392,-,-,0.0308,0.2146,0.6325
Z5 (oblique ast),0.2022,0.4911,0.1799,0.5703,-0.0615,0.1401,0.3323,0.6954,-0.0837,0.0318,0.0807,-0.2141,0.1346,0.1287,0.363,-,-,0.1023,0.721,0.0474
Z6 (vertical ast),-0.509,-0.1901,-0.5196,-0.1611,-0.7796,-0.1252,-0.5388,-0.3812,-0.7051,-0.309,-0.8429,-0.6093,-0.4571,-0.6873,-0.1847,-,-,-0.6321,-0.3494,-0.4546
Z7 (Y coma),0.1002,0.0849,0.1468,0.1143,-0.0316,-0.0218,0.221,0.1978,0.1115,0.1156,0.0295,0.1198,0.0837,-0.0505,-0.1995,-,-,0.065,0.1037,0.0034
Z8 (X coma),0.2121,0.1842,0.2072,0.2435,0.0602,0.2639,0.2444,0.1568,0.2087,0.2266,0.1584,-0.0371,0.1918,0.1479,0.237,-,-,0.1976,0.2215,0.019
Z9 (vertical tref),0.3793,-0.2254,0.5119,0.2088,0.1394,0.1894,1.0177,0.6622,0.1105,0.1757,0.3485,0.5329,0.6442,0.1845,-0.0035,-,-,1.1485,0.7558,0.4096
Z10 (oblique tref),0.2946,0.3094,0.277,0.4084,0.4711,0.211,0.0083,0.3793,0.4213,0.4046,0.4556,-0.001,0.2601,0.4472,0.2277,-,-,0.3642,0.3513,0.1081
Z11 (sph),0.0777,-0.255,-0.1488,-0.2812,0.3066,-0.4365,-0.1845,-0.2579,-0.0158,-0.1687,0.2618,-0.2007,-0.0505,0.0514,-0.4388,-,-,-0.2174,-0.3171,0.3463
Z12,0.4447,0.0992,0.3059,0.01,0.6178,-0.1648,0.4743,0.3808,0.06,0.0532,0.5048,0.2281,0.0473,0.1897,0.0018,-,-,0.2389,0.299,0.4047
Z13,-0.4153,-0.3447,-0.2565,-0.2759,-0.2507,-0.0932,0.0997,-0.5465,-0.5216,-0.6832,0.1405,-0.1102,-0.4289,-0.1962,-0.3237,-,-,-0.182,-0.5246,-0.2829
Z14,0.318,-0.0259,0.3193,0.1209,0.1599,-0.0335,0.4409,0.1398,0.1281,-0.1166,0.0243,0.297,0.1115,0.3571,-0.0348,-,-,0.3477,0.1047,0.227
Z15,-0.1282,-0.2374,-0.0475,-0.1243,-0.1168,-0.1468,-0.0344,-0.2056,-0.0977,-0.0732,-0.0321,0.0253,-0.111,-0.1381,-0.0932,-,-,-0.1462,-0.3029,-0.1348
Z16,-0.1132,-0.5376,-0.2616,-0.3557,-0.1301,-0.5697,0.0201,-0.0859,-0.2702,-0.1984,-0.0922,-0.0911,-0.0809,-0.3382,-0.3846,-,-,-0.086,-0.0504,-0.0746
Z17,-0.334,0.0771,-0.2633,-0.0367,-0.2455,0.0087,-0.4529,-0.1195,-0.3605,-0.1338,0.0289,-0.3786,-0.2716,-0.0442,0.1586,-,-,-0.1596,-0.105,-0.0551
Z18,0.0791,0.2076,0.1334,0.2048,-0.0712,0.1833,-0.008,0.0677,-0.061,-0.0355,-0.1153,-0.1176,-0.039,0.2019,-0.0142,-,-,0.1813,0.049,0.0243
Z19,-0.0627,-0.0753,0.0501,0.1234,-0.1028,0.1093,0.0542,0.0581,-0.1781,-0.0022,-0.0115,0.1028,0.0119,-0.0444,0.0359,-,-,-0.1633,-0.0639,-0.2025
Z20,-0.1311,0.0106,-0.0859,-0.0295,-0.0392,-0.1137,-0.2369,0.05,-0.2516,-0.0116,-0.0318,-0.1115,-0.205,-0.0954,0.0139,-,-,-0.111,-0.007,0.0047
Z21,0.0805,0.0849,0.0869,0.0497,0.0112,0.0086,-0.045,0.009,0.1695,-0.0377,0.0162,-0.09,0.0041,-0.0263,0.0732,-,-,0.0583,0.0945,0.1178
