ID,01_QSUN_Fe2.02,01_QSUN_Mg1,02_EMEF_Fe2.02_0,02_EMEF_Mg1_0,02_EMEF_Fe2.02_1,02_EMEF_Mg1_1,04_QSUN_Fe2.02_0,04_QSUN_Mg1_0,04_QSUN_Fe2.02_1,04_QSUN_Mg1_1,05_QSUN_Fe2.02_0,05_QSUN_Mg1_0,05_QSUN_Fe2.02_1,05_QSUN_Mg1_1,00_CALIB_Fe2.02_0,00_CALIB_Mg1_0,00_CALIB_Fe2.02_1,00_CALIB_Mg1_1,06_SPOT_Fe2.02_0,06_SPOT_Mg1_0,06_SPOT_Fe2.02_1,06_SPOT_Mg1_1,06_SPOT_Fe2.02_2,06_SPOT_Mg1_2,06_SPOT_Fe2.02_3,06_SPOT_Mg1_3,08_QSUN_Fe2.02,09_SPOT_Fe2.02,01_CALIB_Fe2.02,01_CALIB_Mg1,10_SPOT_Fe2.02_0,10_SPOT_Mg1_0,10_SPOT_Fe2.02_1,10_SPOT_Mg1_1,11_FLAR_Fe2.06_0,11_FLAR_Mg1_0,11_FLAR_Fe2.06_1,11_FLAR_Mg1_1,11_FLAR_Fe2.06_2,11_FLAR_Mg1_2,13_PLAG_Fe2.02,13_PLAG_Mg1,16_LIMB_Fe2.02,16_LIMB_Mg1,18_PLAG_Fe2.02_0,18_PLAG_Mg0s_0,18_PLAG_Fe2.02_1,18_PLAG_Mg0s_1,20_PLAG_Fe2.02_0,20_PLAG_Mg1_0,20_PLAG_Fe2.02_1,20_PLAG_Mg1_1,21_SPOT_Fe2.02_0,21_SPOT_Mg1_0,21_SPOT_Fe2.02_1,21_SPOT_Mg1_1,23_SPOT_Fe2.02_0,23_SPOT_Fe2.02_1,23_SPOT_Fe2.06_1,23_SPOT_Fe2.02_2,26_SPOT_Fe2.02,26_SPOT_Mg1,27_EMEF_Fe2.02,27_EMEF_Mg1,29_PLAG_Fe2.02_0,29_PLAG_Mg0s_0,29_PLAG_Fe2.02_1,29_PLAG_Mg0s_1,32_QSUN_Fe2.02,32_QSUN_Fe2.06,33_ARFL_Fe2.02,33_ARFL_Mg0p,35_CHOL_Fe2.02_0,35_CHOL_Mg1_0,35_CHOL_Fe2.02_1,35_CHOL_Mg1_1
Timeline,COMM_1,COMM_1,EMF_1,EMF_1,EMF_1,EMF_1,QSDC_1,QSDC_1,QSDC_1,QSDC_1,FS_1,FS_1,FS_1,FS_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,AR_1,QSHC_1,QSDC_HC,SUNSPOT_1,SUNSPOT_1,SUNSPOT_1,SUNSPOT_1,SUNSPOT_1,SUNSPOT_1,FS_1,FS_1,FS_1,FS_1,FS_1,FS_1,CLV_1,CLV_1,POLE_1,POLE_1,AR_3,AR_3,AR_3,AR_3,CLV_1,CLV_1,CALL_1,CALL_1,FS_1,FS_1,FS_1,FS_1,SUNSPOT_2,SUNSPOT_2,SUNSPOT_2,SUNSPOT_2,SP_4,SP_4,LongObs,LongObs,AR_3,AR_3,AR_3,AR_3,QSHC,QSHC,AR_5,AR_5,QSDC_2,QSDC_2,QSDC_2,QSDC_2
PD date,10/07/2024,10/07/2024,10/07/2024,10/07/2024,10/07/2024,10/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,12/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,13/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,14/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,15/07/2024,16/07/2024,16/07/2024
Time (UTC),16:34,16:34,17:19,17:19,23:47,23:47,02:57,02:57,11:00,11:00,12:51,12:51,22:27,22:27,01:48,01:48,03:04,03:04,07:16,07:16,09:23,09:23,15:44,15:44,17:58,17:58,18:26,20:20,22:08,22:08,22:47,22:47,07:53,07:53,09:23,09:23,11:42,11:42,14:33,14:33,16:03,16:03,20:15,20:15,01:30,01:30,04:39,04:39,09:24,09:24,13:07,13:07,17:35,17:35,19:57,19:57,20:15,21:21,21:21,00:45,09:23,09:23,14:20,14:20,15:57,15:57,18:58,18:58,20:02,20:02,20:59,20:59,23:12,23:12,05:49,05:49
Filter,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,525.02,525.02,517.3,525.02,517.3,525.06,517.3,525.06,517.3,525.06,517.3,525.06,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,525.02,525.06,525.02,525.02,517.3,525.02,517.3,525.02,517.3,525.02,517.3,525.02,525.06,525.02,517.3,525.02,517.3,525.02,517.3
Latitude (deg),24.086,24.086,20.114,20.114,-1.127,-1.127,5.454,5.454,43.948,43.948,45.489,45.489,2.753,2.753,-2.245,-2.245,-0.223,-0.223,17.614,17.614,29.568,29.568,44.281,44.281,34.867,34.867,32.367,21.35,11.209,11.209,8.01,8.01,10.974,10.974,19.045,19.045,32.506,32.506,44.85,44.85,46.661,46.661,31.709,31.709,3.049,3.049,-3.304,-3.304,10.707,10.707,31.825,31.825,46.606,46.606,40.62,40.62,39.251,33.566,33.566,13.921,3.047,3.047,29.878,29.878,38.398,38.398,46.453,46.453,45.446,45.446,42.817,42.817,32.448,32.448,0.013,0.013
Optical bench T1,15.18,15.18,14.85,14.85,12.63,12.63,11.39,11.39,15.14,15.14,15.11,15.11,14.92,14.92,14.92,14.92,10.52,10.52,11.25,11.25,13.1,13.1,14.89,14.89,15.07,15.07,15.07,14.89,14.85,14.85,14.85,14.85,9.83,9.83,11.28,11.28,13.58,13.58,15.18,15.18,15.21,15.21,14.78,14.78,15,15,11.83,11.83,10.55,10.55,14.63,14.63,14.81,14.81,14.89,14.89,15.18,15.07,15.07,15,9.75,9.75,12.16,12.16,13.17,13.17,14.81,14.81,15.11,15.11,15.11,15.11,14.74,14.74,14.67,14.67
Optical bench T2,16.27,16.27,16.27,16.27,14.27,14.27,12.48,12.48,16.02,16.02,16.2,16.2,16.24,16.24,16.24,16.24,12.41,12.41,11.28,11.28,13.07,13.07,16.6,16.6,16.82,16.82,16.82,16.71,16.53,16.53,16.49,16.49,10.55,10.55,11.61,11.61,13.65,13.65,15.69,15.69,16.13,16.13,16.78,16.78,16.31,16.31,13.68,13.68,11.28,11.28,14.7,14.7,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.02,10.88,10.88,12.96,12.96,13.5,13.5,15.62,15.62,15.98,15.98,16.09,16.09,16.09,16.09,15.98,15.98
Optical bench T3,21.23,21.23,21.23,21.23,19.3,19.3,17.99,17.99,21.38,21.38,21.67,21.67,20.76,20.76,20.76,20.76,17.58,17.58,16.86,16.86,18.79,18.79,22.07,22.07,22.33,22.33,22.22,21.6,21.34,21.34,21.27,21.27,16.02,16.02,17.4,17.4,19.44,19.44,21.2,21.2,21.82,21.82,22.11,22.11,21.05,21.05,18.75,18.75,16.78,16.78,20.28,20.28,21.2,21.2,21.27,21.27,21.27,21.16,21.16,21.01,16.05,16.05,18.5,18.5,19.23,19.23,21.05,21.05,21.38,21.38,21.45,21.45,21.23,21.23,20.76,20.76
Filter wheel T,24.56,24.56,23.72,23.72,23.72,23.72,23.06,23.06,24.59,24.59,24.67,24.67,24.41,24.41,24.41,24.41,22.99,22.99,22.29,22.29,23.43,23.43,24.89,24.89,24.92,24.92,24.96,24.81,24.7,24.7,24.67,24.67,22.62,22.62,22.91,22.91,23.57,23.57,24.45,24.45,24.67,24.67,24.92,24.92,24.56,24.56,23.57,23.57,22.8,22.8,23.97,23.97,24.45,24.45,24.56,24.56,24.56,24.48,24.48,24.59,22.51,22.51,23.35,23.35,23.43,23.43,24.37,24.37,24.48,24.48,24.56,24.56,24.56,24.56,24.41,24.41
DID PD,D10-6194-6513,D10-6194-6513,D10-6944-7263,D10-6944-7263,D10-36199-36518,D10-36199-36518,D11-4657-4976,D11-4657-4976,D11-41708-42027,D11-41708-42027,D11-47617-47936,D11-47617-47936,D11-115780-116099,D11-115780-116099,D12-3532-3853,D12-3532-3853,D12-7820-8139,D12-7820-8139,D12-13095-13414,D12-13095-13414,D12-18113-18432,D12-18113-18432,D12-47445-47700,D12-47445-47700,D12-48877-49132,D12-48877-49132,D12-49657-49912,D12-56657-56912,D12-62626-62881,D12-62626-62881,D12-63352-63607,D12-63352-63607,D13-23639-23894,D13-23639-23894,D13-29029-29540,D13-29029-29540,D13-43241-43496,D13-43241-43496,D13-63375-63630,D13-63375-63630,D13-68855-69110,D13-68855-69110,D13-85423-85678,D13-85423-85678,D14-3866-4121,D14-3866-4121,D14-16264-16519,D14-16264-16519,D14-26462-26717,D14-26462-26717,D14-42951-43206,D14-42951-43206,D14-73583-73838,D14-73583-73838,D14-85727-86046,D14-85727-86046,D14-86429-86684,D14-90676-90931,D14-90676-90931,D15-3624-3879,D15-17486-17741,D15-17486-17741,D15-45810-46065,D15-45810-46065,D15-49080-49335,D15-49080-49335,D15-62463-62718,D15-62463-62718,D15-65911-66230,D15-65911-66230,D15-71155-71410,D15-71155-71410,D15-80267-80522,D15-80267-80522,D16-36509-36764,D16-36509-36764
DID Darks,D10-5620-5719,D10-5620-5719,D10-6844-6943,D10-6844-6943,D10-36099-36198,D10-36099-36198,D11-4557-4656,D11-4557-4656,D11-41608-41707,D11-41608-41707,D11-47517-47616,D11-47517-47616,D11-115680-115779,D11-115680-115779,D12-3432-3531,D12-3432-3531,D12-7720-7819,D12-7720-7819,D12-12995-13094,D12-12995-13094,D12-12995-13094,D12-12995-13094,D12-42059-42158,D12-42059-42158,D12-42059-42158,D12-42059-42158,D12-49557-49656,D12-56557-56656,D12-62526-62625,D12-62526-62625,D12-63252-63349,D12-63252-63349,D13-23539-23638,D13-23539-23638,D13-28929-29028,D13-28929-29028,D13-63633-63732,D13-63633-63732,D13-63633-63732,D13-63633-63732,D13-68755-68854,D13-68755-68854,D13-68755-68854,D13-68755-68854,D14-3766-3865,D14-3766-3865,D14-16162-16261,D14-16162-16261,D14-26362-26461,D14-26362-26461,D14-42851-42950,D14-42851-42950,D14-73483-73582,D14-73483-73582,D14-86329-86428,D14-86329-86428,D14-86329-86428,D14-86329-86428,D14-86329-86428,D14-86329-86428,D15-17386-17485,D15-17386-17485,D15-45710-45809,D15-45710-45809,D15-48980-49079,D15-48980-49079,D15-62363-62462,D15-62363-62462,D15-71055-71154,D15-71055-71154,D15-71055-71154,D15-71055-71154,D15-80167-80266,D15-80167-80266,D16-36409-36508,D16-36409-36508
DID Flat,D10-4340-5619,D10-2740-4339,D10-9638-11429,D10-7398-9637,D11-1656-3447,D10-36653-37236; D11-0-1655,D11-7237-9028,D10-36653-37236; D11-0-1655,D11-44410-46201,D11-42170-44409,D11-53367-56182,D11-56183-60662,D11-53367-56182,D11-56183-60662,D11-53367-56182,D12-3986-6225,D11-53367-56182,D11-56183-60662,D12-15783-17574,D12-13543-15782,D12-15783-17574,D12-13543-15782,D12-15783-17574,D12-42213-44452,D12-15783-17574,D12-42213-44452,D12-50091-51610,D12-57075-58274,D12-67102-67501,D12-64222-65821,D12-67102-67501,D12-64222-65821,D13-26093-27372,D13-24493-26092,D13-29696-34559,D13-37376-41855,D13-29696-34559,D13-37376-41855,D13-29696-34559,D13-37376-41855,D13-72765-74044,D13-71165-72764,D13-72765-74044,D13-71165-72764,D14-4736-6015,D14-4256-4735,D14-17134-18413,D14-16654-17133,D14-30380-31659,D14-28780-30379,D14-43341-44620,D14-44861-45340,D14-75383-78198,D14-78199-79798,D14-75383-78198,D14-78199-79798,D14-88639-90430,D14-88639-90430,D14-86847-88638,D15-5820-7611,D15-17876-19155,D15-19156-20115,D15-46200-47479,D15-49470-49949,D15-49950-51229,D15-49470-49949,D15-63333-64612,D15-62853-63332,D15-74233-76024,,D15-74233-76024,D15-71545-74232,D15-82737-84016,D15-81137-82736,D16-36899-38178,D16-38179-38562
Initial guess,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,,,,,,,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,,,Zeros,Zeros,Zeros,Zeros,,,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,,,Zeros,Zeros,Zeros,Zeros,,,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros,,Zeros,Zeros,Zeros,Zeros,Zeros,Zeros
Algorithm,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,,,,,,,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,,,SVD,SVD,SVD,SVD,,,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,,,SVD,SVD,SVD,SVD,,,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,,SVD,SVD,SVD,SVD,SVD,SVD
Iterations,5-7,5-7,4-8,5-9,6-10,5-6,7-9,7-9,4-7,5-8,,,,,,,5-9,6-11,5-8,5-7,5-7,5-7,5-7,5-7,,,6-10,4-5,,,6-9,5-7,5-6,5-9,,,5-9,5-9,4-7,4-6,4-7,4-6,5-6,6-11,6-9,5-8,,,5-9,5-9,5-8,5-6,,,4-6,5-7,5-10,4-6,5-9,5-7,5-7,6-8,6-8,5-7,5-9,5-9,4-6,4-6,4-6,,5-6,5-7,5-6,6-9,5-7,4-8
WFE,1/5.5,1/5.7,1/5.5,1/6.1,1/3.5,1/4.0,1/3.7,1/4.6,1/4.8,1/6.1,,,,,,,1/4.2,1/4.5,1/4.3,1/4.9,1/5.3,1/6.1,1/5.2,1/5.7,,,1/4.8,1/4.0,,,1/3.9,1/5.6,1/3.9,1/3.9,,,1/5.3,1/5.9,1/6.5,1/6.12,1/6.5,1/6.9,1/6.1,1/6.0,1/4.06,1/5.15,,,1/4,1/4.11,1/5.7,1/7.1,,,1/5.1,1/4.8,1/4.92,1/5.2,1/5.1,1/4.3,1/3.9,1/4.5,1/4.69,1/5.8,1/5.13,1/6.62,1/4.4,1/5.7,1/5.8,,1/5.34,1/6.49,1/5.13,1/6.8,1/3.8,1/4.2
Contrast original,10.1%,10.0%,10.1%,10.4%,8.6%,9.5%,9.0%,8.9%,9.9%,11.0%,,,,,,,8.7%,9.0%,9.3%,9.2%,19.3%,23.2%,11.3%,14.0%,,,10.2%,8.9%,,,9.1%,9.7%,8.5%,8.9%,,,21.7%,24.7%,18.5%,20.2%,10.5%,10.7%,10.3%,10.7%,8.9%,9.9%,,,8.6%,9.2%,9.9%,10.5%,,,9.1%,11.0%,9.3%,27.6%,28.0%,9.0%,8.9%,8.8%,10.0%,9.7%,9.4%,11.2%,9.1%,10.5%,10.2%,,9.7%,10.95%,9.90%,10.40%,9.20%,9.50%
Contrast restored,14.1%,14.1%,14.2%,13.4%,15.3%,12.5%,15.2%,11.7%,15.3%,15.9%,,,,,,,12.8%,12.2%,13.9%,12.1%,22.4%,24.7%,15.9%,19.4%,,,13.8%,13.9%,,,15.6%,12.2%,12.9%,10.9%,,,25.4%,29.0%,21.7%,25.7%,14.2%,13.6%,13.9%,16.1%,15.1%,12.9%,,,12.7%,10.8%,13.9%,13.5%,,,14.9%,17.9%,14.8%,30.1%,30.9%,13.9%,12.8%,11.3%,15.6%,13.1%,14.0%,15.0%,14.4%,13.7%,14.5%,,14.2%,14.72%,15.10%,13.90%,15.00%,12.30%
